id	DTM	LWC_g	PLHT_cm	TSM_g	STEM_DIAMETER_cm	STEM_BIOMASS_g	SEED_YIELD_g	TOTAL_DRY_BIOMASS_g	CBC (%)	THCA (%)	CBDA (%)	CBGA (%)	3.carene (ppm)	A.pinene (ppm)	A.terpinene (ppm)	B.caryophyllene (ppm)	Camphene (ppm)	Caryophyllene.Oxide (ppm)	Citronellol (ppm)	Eucalyptol (ppm)	Geraniol (ppm)	G.terpinene (ppm)	Linalool (ppm)	Linalyl.Acetate (ppm)	Ocimene.1 (ppm)
UC-91	98	2.62	126.2	13.2	1.3	33.5	69.38	215.06	0	0	0.0037	0.0012	0	57.21	0	2.85	0	25.76	11.84	0	21.21	0	8.18	0	0
UC-92	95.5	1.36		16	0.85	8.085	6.915	51.615	0	0.0045	0.1595	0.0025	0	88.12	0	67.08	0	20.25	0	4.8	0	0	0	0	0
UC-95	105	2.16	127.6	22.8	1.8	39.58	20.42	126.37	0	0.0196	0.4638	0.03	1.38	72.99	2.67	22.46	2.49	4.29	0	4.8	0	2.26	0.67	4.22	3.5
UC-97	107	0.84	155	14	1.4	55.24	45.94	221.09	0	0.0013	0.0461	0.0076	0	41.46	0	10.42	1.19	19.35	0	0	3.86	0	0	0	0.73
UC-98	96	0.49	36.6	3	0.5	3.08	0.22	20.54	0	0	0.0015	0	0	14.65	0	1.35	0.51	16.3	0	0	4.17	0	0	1.63	0
UC-99	107	1.78	89.6	10.6	2.4	42.03	7.2	130.97	0.0006	0.0574	1.8897	0.0677	22.35	677.66	25.48	75.25	20.91	14.46	0	22.42	0	22.6	5.38	10.24	8.67
UC-100	107	0.81	98.8	18.2	1.2	49.1	40.75	240.08	0	0.0008	0.0253	0.0493	0	29.68	1.56	27.03	0.56	6.28	0	2.19	1.24	1.22	0	1.55	0
UC-101	105	0.47	46.1	12.6	0.8	7.9	9.98	39.21	0	0	1.1135	0													
UC-102	95.66666667	0.563333333		13	0.466666667	5.033333333	1.686666667	27.26666667																	
UC-103	117	1.38	82.1	12.6	1	17.83	7.4	72.17	0	0	0.005	0.0205	0	28.7	0	11.36	0	16.07	0	0	0	0	0	2.71	0
UC-104	117	1.13	81.4	15.8	1.1	19.9	10.51	82.27	0	0	0.0021	0.0005	0	23.56	0.45	1.14	0.65	7.45	0	0.78	0	0	0	2.35	0
UC-105	105	1.03	97.2	16.6	0.95	22.82	25.54	128.04	0.0008	0.0011	0.05	0.012	0	55.22	1.31	108.98	0	7.89	0	0	0	1.1	0	0	1.16
UC-106	101	0.44	37.2	14.4	0.6	3.61	6.77	25.74	0	0	0.0018	0.0002													
UC-107	96	1.07	47.6	1.2	0.7	7.47	0.09	38.81																	
UC-108	96	1.33	76	17.8	0.6	7.67	5.41	47.98	0.0012	0.0054	0.2402	0.0044	0	99.31	2.52	61.79	1.82	13.92	0	0	0	2.31	0	2.48	4.88
UC-109	107	1.775	133.75	18.2	1.3	40.16	36.865	169.015	0	0.0007	0.0264	0.0072	0	30.23	0	30.16	0	11.9	0	0	0	0	0	0	0
UC-110	110.6666667	1.626666667	92.9	18.2	1	29.20333333	18.20666667	91.54666667																	
UC-111	101	1.03	92.1	12.6	1.3	51.22	55.91	201.12	0	0	0.0027	0.2177	0	14.51	0	8.74	0	3.6	0	0	0	0	0	0	0
UC-112		1.15																							
UC-114	92	0.35	41.2	12	0.7	5.63	7.5	40.44	0.0005	0.0012	0.0542	0.0009													
UC-116	100	1.506666667	127.8666667	14.6	1.133333333	27.52666667	41.91	148.0533333	0.0002	0.0016	0.0614	0.0006	0	10.06	0	17.85	0	7.39	0	0	0	0	0	2.1	1.06
UC-118	94	0.56	67.7	12.6	0.9	11.85	22.46	70.23	0	0.0002	0.0057	0.0004	0	23.5	1.16	2.8	0.55	12.51	7.09	0	6.07	0	0	3.78	0
UC-119	107	1.53	109	14.6	1.2	22.09	9.66	62.7	0	0.0013	0.0626	0.0007	0	185.2	0	33.93	3.56	23.27	0	0	9.02	0	4.51	0	0
UC-120	106.3333333	0.803333333	76.23333333	14.6	1.1	25.37666667	44.79666667	138.35	0	0.0003	0.0211	0.0008	0	52.17	0	14.58	0	39.72	0	0	0	0	0	0	0
UC-121	110.3333333	2.006666667	139.7666667	13.2	1.483333333	52.44666667	38.98	180.0066667																	
UC-122	101	1.02	80.7	13	0.9	9.37	16.64	53.19	0	0.0028	0.1074	0.0008	0	51.51	2.07	21.03	1.34	3.1	0	2.21	0	1.36	0	1.93	2.25
UC-123	93.5	0.57	71.9	11.8	0.8	12.905	6.34	61.185	0	0	0.026	0.0025	0	101.4	0	55.54	2.01	5.75	0	0.62	0	0.57	0	2.65	0
UC-124	86	0.61	62.1	14.6	0.7	5.79	9.98	38.28	0	0.0024	0.0994	0.0011	0	59.99	0	23.82	0	9.33	0	0	0	0	0	0	0
UC-126	89.66666667	0.533333333	89.6	15.4	0.65	8.383333333	3.993333333	40.61333333	0.0003	0.0014	0.0534	0.0005	0	48.92	1.75	46.99	0.92	17.42	0	0	2.08	1.02	0	1.68	2.59
UC-127	105	1.78	91.4	18.2	0.7	10.91	10.88	51.26																	
UC-128	103	0.83	55.9	16.2	1.3	9.8	6.235	53.38	0.0019	0.06	1.6715	0.1012	0	407.39	17.01	51.44	17	4.12	0	13.4	0	15.45	0	0	0
